-143, 273, -16464,
-322, 329, -16410,
-397, 291, -16615,
372, 1007, -15370,
3078, 1788, -16632,
3786, 1518, -15875,
4088, 983, -16088,
4765, 42, -16379,
4959, 79, -14850,
5116, -371, -15008,
4991, -1585, -15908,
5179, -1820, -15147,
4749, -2475, -15868,
4458, -2639, -15257,
4270, -3387, -15813,
3923, -3565, -15642,
3593, -4082, -15421,
3001, -4101, -15602,
2620, -4050, -15517,
2401, -4511, -15616,
2058, -4441, -15641,
1285, -4583, -15197,
1442, -4627, -15524,
461, -4669, -15549,
476, -4776, -15433,
-170, -4596, -15356,
-585, -4507, -15845,
-1127, -3799, -15592,
-1438, -4153, -16165,
-1760, -3869, -16343,
-1886, -3589, -15586,
-2145, -3402, -16163,
-2560, -2908, -16499,
-2922, -2205, -15896,
-2816, -1746, -15518,
-2234, -1855, -16792,
-1602, -866, -16291,
-1408, -1102, -16481,
-970, -1178, -16098,
-598, -1235, -16585,
-595, -1238, -16270,
-333, -1115, -16122,
-607, -1283, -15890,
-400, -1452, -16147,
-129, -927, -15981,
-338, -1387, -16448,
-363, -1053, -16549,
-336, -924, -16126,
191, -1230, -16596,
-27, -1092, -16596,
465, -818, -15878,
150, -1004, -16299,
247, -817, -16693,
226, -398, -16396,
-101, -612, -15767,
-27, -465, -16187,
94, -962, -16276,
-38, -824, -15289,
30, -1157, -17233,
450, -819, -16461,
411, -140, -16109,
583, -656, -15606,
553, -502, -15758,
359, -135, -16098,
44, -142, -15748,
513, -453, -16402,
776, -467, -15845,
915, -129, -16367,
395, -441, -16248,
156, -571, -16073,
675, -199, -16366,
383, -461, -16164,
613, -675, -16305,
67, -1199, -17703,
-170, -875, -16656,
146, -234, -16105,
-85, -679, -16631,
-359, -630, -16381,
-98, -217, -16990,
104, -220, -16406,
-166, -600, -15963,
-147, -471, -16273,
66, -334, -16144,
-194, -1312, -16459,
-119, -708, -16772,
-492, -313, -16132,
-670, -465, -16391,
-84, -74, -16506,
-886, -567, -16155,
-872, -723, -16719,
-441, -590, -16272,
-289, -699, -16633,
-1157, -1120, -16423,
-797, -944, -16144,
-950, -905, -16794,
-769, -899, -16278,
-1189, -597, -16658,
-1638, -452, -16506,
-1531, -428, -16377,
-1248, -209, -16520,
-1292, -218, -16471,
-1250, 38, -16022,
-1834, -411, -16245,
-1030, -69, -16082,
-1054, -315, -16313,
-872, -819, -17087,
-543, -534, -16813,
-274, -486, -15908,
-37, 267, -16463,
400, 244, -16106,
141, 551, -15784,
674, 268, -16299,
889, -282, -16706,
1142, -10, -16482,
999, -202, -16327,
1335, 408, -16060,
943, 1522, -16158,
1300, 3411, -16401,
1170, 4098, -16142,
1036, 4984, -15743,
1111, 6277, -15006,
1229, 7638, -14937,
1075, 8240, -14714,
815, 9683, -13385,
688, 10055, -12282,
1222, 11427, -11689,
1580, 12281, -11991,
936, 13058, -10217,
827, 14109, -8466,
829, 14491, -7885,
493, 14580, -7589,
751, 15770, -5498,
707, 16329, -4818,
322, 16369, -3866,
694, 16350, -2286,
1011, 16520, -110,
957, 16774, -1,
724, 16708, 913,
730, 16729, -873,
496, 16160, -2520,
478, 16487, -3821,
602, 15450, -4425,
440, 15377, -6298,
299, 13976, -9165,
733, 12798, -9781,
561, 11409, -11750,
377, 9419, -13757,
636, 7361, -15705,
243, 4693, -16158,
671, 3331, -15317,
729, 1727, -16045,
731, -1002, -16903,
733, -3062, -15583,
1066, -4033, -15516,
1467, -5847, -15085,
1441, -7445, -13578,
1166, -8844, -13130,
765, -11013, -12539,
1062, -11590, -11061,
1461, -11794, -9905,
2373, -9486, -12027,
2793, -9481, -12756,
2322, -9595, -12311,
896, -11268, -15555,
3065, -7166, -15334,
3467, -1013, -16278,
2845, 778, -16701,
1673, 4874, -16429,
1556, 8190, -14420,
1213, 11628, -12399,
1597, 11640, -11002,
1123, 14330, -7944,
722, 16076, -5508,
439, 15876, -1267,
558, 17167, 44,
500, 16328, 1451,
470, 16708, 1368,
661, 16969, 1493,
393, 16869, 523,
326, 17056, 274,
592, 16520, -233,
835, 16275, -3337,
744, 15816, -5984,
696, 14405, -8066,
1166, 12595, -10928,
1085, 10815, -12997,
787, 8278, -12601,
1303, 6048, -16577,
901, 2713, -15885,
636, -29, -15810,
522, -2732, -15696,
488, -4780, -15296,
1411, -6977, -14311,
1913, -8665, -14660,
1715, -10419, -12855,
1792, -11397, -11960,
2155, -12145, -10618,
2349, -12421, -10855,
2298, -13953, -8753,
1846, -15423, -6596,
1216, -15662, -5758,
863, -15500, -3032,
-33, -16082, -3630,
-180, -15249, -3000,
34, -15809, -2185,
-360, -17039, -577,
-1244, -16048, -1146,
-915, -16375, -1546,
-1227, -15469, -3560,
-717, -15197, -4193,
-549, -14709, -6324,
-640, -14309, -6858,
-696, -13593, -8958,
-1269, -13268, -9685,
-701, -12030, -10728,
-920, -10977, -12964,
-1101, -9253, -14061,
-252, -7410, -15278,
63, -6557, -15894,
948, -4201, -16731,
1235, -2306, -16130,
596, -2428, -17043,
-1001, -1640, -16821,
-1553, -2840, -16566,
-3853, -2520, -15613,
-5712, -2131, -15776,
-7391, -1776, -14495,
-9074, -940, -13731,
-9920, -1287, -12721,
-11277, -1580, -11852,
-12092, -259, -11485,
-13683, -837, -10381,
-13917, -387, -9624,
-13892, -521, -9222,
-14977, 106, -8205,
-15103, -212, -6946,
-15998, 171, -5354,
-16964, -416, -5114,
-16279, 588, -4028,
-16439, 517, -3189,
-16513, 469, -2042,
-17231, 476, -762,
-17225, 1469, 289,
-16688, 1244, 943,
-16832, 1081, 1703,
-16961, -27, 559,
-16715, 1326, 130,
-16385, 647, -948,
-16967, 281, -1693,
-16410, 1311, -2439,
-16577, 785, -3566,
-16199, 137, -4774,
-15779, 257, -6087,
-15178, 293, -6971,
-14948, -31, -8471,
-13872, -152, -10028,
-13109, 128, -10554,
-11963, 535, -11632,
-11287, 604, -11884,
-10614, 368, -13080,
-9108, 315, -14489,
-8081, 679, -14508,
-6836, 814, -14904,
-5993, 577, -14818,
-4530, 142, -15493,
-3349, 238, -16052,
-1937, 380, -16361,
-106, 310, -16163,
870, 295, -16702,
2370, 145, -16387,
3509, -324, -15662,
4472, -525, -15385,
6185, 273, -15212,
7290, -329, -14152,
8468, -82, -13266,
9961, -13, -12860,
11081, 3, -12130,
11020, 262, -11429,
12054, -412, -10812,
12506, 1321, -9416,
13214, 561, -9113,
13900, 630, -8522,
14676, 1360, -7155,
14604, 808, -6177,
15065, 69, -5533,
15175, -93, -4964,
15294, -900, -3551,
15569, -1034, -3020,
15554, -1517, -1704,
16022, -1245, -1133,
15822, -1284, -359,
15743, -1461, 339,
15886, -1522, 504,
15674, -1664, 269,
15642, -1746, 133,
15778, -1637, -432,
15974, -1534, -1393,
15955, -1580, -1407,
15634, -1964, -2958,
15781, -1574, -4283,
14968, -1248, -5396,
6414, 1781, -16200,
2802, 1301, -16047,
786, 1496, -15492,
-1351, 1796, -17428,
-4348, 2074, -15633,
-5431, 2735, -14349,
-7495, 2156, -15224,
